run_id,seed,scenario,policy,profit,revenue,boarded_load_factor,accepted_booking_load_factor,booking_rate,avg_fare,denied_boardings,no_show_count,ticket_revenue,ancillary_revenue,total_cost
53,2079,baseline,static,15450.0,28750.0,0.5555555555555556,0.6388888888888888,0.6216216216216216,220.0,0,15,25300.0,3450.0,13300.0
54,2080,baseline,static,16755.0,31000.0,0.6388888888888888,0.6888888888888889,0.6702702702702703,220.0,0,9,27280.0,3720.0,14245.0
55,2081,baseline,static,13450.0,26750.0,0.5555555555555556,0.5944444444444444,0.5783783783783784,220.0,0,7,23540.0,3210.0,13300.0
56,2082,baseline,static,12080.0,24750.0,0.5,0.55,0.5351351351351351,220.0,0,9,21780.0,2970.0,12670.0
57,2083,baseline,static,16696.0,30500.0,0.6,0.6777777777777778,0.6594594594594595,220.0,0,14,26840.0,3660.0,13804.0
58,2084,baseline,static,13708.0,26000.0,0.4666666666666667,0.5777777777777777,0.5621621621621622,220.0,0,20,22880.0,3120.0,12292.0
59,2085,baseline,static,15198.0,28750.0,0.5777777777777777,0.6388888888888888,0.6216216216216216,220.0,0,11,25300.0,3450.0,13552.0
60,2086,baseline,static,15320.0,29250.0,0.6111111111111112,0.65,0.6324324324324324,220.0,0,7,25740.0,3510.0,13930.0
61,2087,baseline,static,10458.0,22750.0,0.4666666666666667,0.5055555555555555,0.4918918918918919,220.0,0,7,20020.0,2730.0,12292.0
62,2088,baseline,static,13950.0,27250.0,0.5555555555555556,0.6055555555555555,0.5891891891891892,220.0,0,9,23980.0,3270.0,13300.0
63,2089,baseline,static,12267.0,25000.0,0.5055555555555555,0.5555555555555556,0.5405405405405406,220.0,0,9,22000.0,3000.0,12733.0
64,2090,baseline,static,15015.0,28000.0,0.5277777777777778,0.6222222222222222,0.6054054054054054,220.0,0,17,24640.0,3360.0,12985.0
65,2091,baseline,static,16383.0,30250.0,0.6055555555555555,0.6722222222222223,0.654054054054054,220.0,0,12,26620.0,3630.0,13867.0
66,2092,baseline,static,15135.0,28750.0,0.5833333333333334,0.6388888888888888,0.6216216216216216,220.0,0,10,25300.0,3450.0,13615.0
67,2093,baseline,static,15570.0,29500.0,0.6111111111111112,0.6555555555555556,0.6378378378378379,220.0,0,8,25960.0,3540.0,13930.0
68,2094,baseline,static,13015.0,26000.0,0.5277777777777778,0.5777777777777777,0.5621621621621622,220.0,0,9,22880.0,3120.0,12985.0
69,2095,baseline,static,13202.0,26250.0,0.5333333333333333,0.5833333333333334,0.5675675675675675,220.0,0,9,23100.0,3150.0,13048.0
70,2096,baseline,static,14511.0,28000.0,0.5722222222222222,0.6222222222222222,0.6054054054054054,220.0,0,9,24640.0,3360.0,13489.0
71,2097,baseline,static,15698.0,29250.0,0.5777777777777777,0.65,0.6324324324324324,220.0,0,13,25740.0,3510.0,13552.0
72,2098,baseline,static,12702.0,25750.0,0.5333333333333333,0.5722222222222222,0.5567567567567567,220.0,0,7,22660.0,3090.0,13048.0
73,2099,baseline,static,18005.0,32250.0,0.6388888888888888,0.7166666666666667,0.6972972972972973,220.0,0,14,28380.0,3870.0,14245.0
74,2100,baseline,static,16570.0,30500.0,0.6111111111111112,0.6777777777777778,0.6594594594594595,220.0,0,12,26840.0,3660.0,13930.0
75,2101,baseline,static,15326.0,28500.0,0.5444444444444444,0.6333333333333333,0.6162162162162163,220.0,0,16,25080.0,3420.0,13174.0
76,2102,baseline,static,14511.0,28000.0,0.5722222222222222,0.6222222222222222,0.6054054054054054,220.0,0,9,24640.0,3360.0,13489.0
77,2103,baseline,static,17255.0,31500.0,0.6388888888888888,0.7,0.6810810810810811,220.0,0,11,27720.0,3780.0,14245.0
